Aenean	1
Aliquam	2
Cras	3
Curabitur	1
Donec	6
Etiam	5
Fusce	3
In	5
Integer	2
Lorem	1
Maecenas	2
Mauris	1
Morbi	3
Nulla	2
Nullam	3
Nunc	2
Pellentesque	2
Praesent	4
Proin	2
Quisque	1
Sed	1
Suspendisse	1
Ut	1
a	7
ac	4
ac,	1
accumsan	2
accumsan.	1
adipiscing	2
adipiscing,	1
adipiscing.	2
aliquam	3
aliquam.	2
aliquet	2
amet	1
amet,	2
ante	3
arcu,	1
arcu.	1
at	7
auctor	3
auctor.	1
augue	1
bibendum	1
bibendum.	2
blandit	3
commodo	1
condimentum	1
condimentum.	1
congue	3
consectetur	3
consectetur.	1
convallis	2
cursus	3
dapibus	1
diam	2
dictum	3
dignissim	2
dolor	3
dui	2
dui,	1
dui.	2
egestas	1
egestas,	1
egestas.	2
eget	3
eget,	1
eleifend	2
eleifend,	1
elementum.	1
elit.	1
enim	2
enim.	1
erat	2
erat.	1
eros	5
eros,	1
est	3
est,	1
est.	1
et	7
eu	6
eu,	1
eu.	1
euismod	1
euismod.	1
facilisis.	1
fames	1
faucibus	4
felis.	1
fermentum	1
feugiat	3
fringilla	2
gravida	1
habitant	1
hendrerit	3
id	7
imperdiet	2
in	4
interdum	3
interdum.	1
ipsum	3
ipsum.	1
justo	3
justo.	1
lacinia	1
lacus	2
laoreet	2
lectus	2
lectus.	1
leo	2
leo,	1
libero	1
libero.	1
ligula,	3
lobortis	2
lorem	3
lorem.	1
magna	3
malesuada	1
massa	2
massa.	1
mattis	1
mattis,	1
mattis.	1
mauris	1
metus	1
metus.	1
mi	1
molestie	2
mollis	1
morbi	1
nec	1
nec.	1
neque	4
neque.	1
netus	1
nibh	2
nisi	1
nisi,	3
nisi.	1
nisl.	1
non	3
nulla	2
nunc	1
nunc.	2
odio	5
odio.	1
orci	3
orci,	1
ornare	1
pellentesque	3
pharetra	3
pharetra,	1
pharetra.	1
placerat	1
porttitor	2
porttitor,	1
posuere	4
pulvinar	2
purus	1
purus,	1
quam	2
quis	4
quis.	1
sagittis	3
sapien	1
sapien,	1
scelerisque	5
scelerisque,	1
sed	10
sem,	1
semper	1
senectus	1
sit	3
sodales.	1
sollicitudin	3
suscipit	7
suscipit.	1
tempor	1
tempus	1
tincidunt	3
tincidunt.	3
tortor	2
tortor.	1
tristique	1
turpis	2
ullamcorper	3
ultrices	1
ultricies.	1
urna	2
urna.	1
ut	3
ut,	2
varius	2
vehicula	2
vel	6
vel.	1
velit	5
velit.	1
venenatis	1
vestibulum	2
vestibulum.	1
vitae	3
viverra	1
volutpat	4
volutpat.	1
vulputate	2
vulputate,	1
